Available CPU Cores: 48

[18 threads]: avgTime= 3004170117, avgThroughput=68809, averageFinalSize=100
[24 threads]: avgTime= 3005613239, avgThroughput=127968, averageFinalSize=100
[30 threads]: avgTime= 3006296670, avgThroughput=212622, averageFinalSize=100
[36 threads]: avgTime= 3007882303, avgThroughput=92147, averageFinalSize=100
[42 threads]: avgTime= 3008945455, avgThroughput=224256, averageFinalSize=100
[46 threads]: avgTime= 3019323388, avgThroughput=76608, averageFinalSize=100
---
Done Testing VersionedList

Testing LazyList with numInitialElements = 100, range = 200, numRuns = 3
---
50% Adds, 50% Removes, 0% Contains
[2 threads]: avgTime= 3000916298, avgThroughput=1118, averageFinalSize=105
[6 threads]: avgTime= 3001523653, avgThroughput=1731, averageFinalSize=104
[12 threads]: avgTime= 3001730982, avgThroughput=2856, averageFinalSize=103
[18 threads]: avgTime= 3003140457, avgThroughput=3571, averageFinalSize=94
[24 threads]: avgTime= 3004033005, avgThroughput=3743, averageFinalSize=95
[30 threads]: avgTime= 3004528727, avgThroughput=3116, averageFinalSize=101
[36 threads]: avgTime= 3005698131, avgThroughput=2630, averageFinalSize=98
[42 threads]: avgTime= 3006341613, avgThroughput=2260, averageFinalSize=104
[46 threads]: avgTime= 3006189180, avgThroughput=2136, averageFinalSize=106

10% Adds, 10% Removes, 80% Contains
[2 threads]: avgTime= 3000705784, avgThroughput=2542, averageFinalSize=100
[6 threads]: avgTime= 3001203584, avgThroughput=3129, averageFinalSize=108
[12 threads]: avgTime= 3002672985, avgThroughput=5239, averageFinalSize=110
[18 threads]: avgTime= 3003232715, avgThroughput=8169, averageFinalSize=101
[24 threads]: avgTime= 3004012259, avgThroughput=11855, averageFinalSize=104
[30 threads]: avgTime= 3004991046, avgThroughput=15069, averageFinalSize=98
[36 threads]: avgTime= 3004710720, avgThroughput=15910, averageFinalSize=96
[42 threads]: avgTime= 3006264183, avgThroughput=12824, averageFinalSize=97
[46 threads]: avgTime= 3007766745, avgThroughput=11349, averageFinalSize=100

0% Adds, 0% Removes, 100% Contains
[2 threads]: avgTime= 3001535068, avgThroughput=13596, averageFinalSize=100
[6 threads]: avgTime= 3001791551, avgThroughput=34223, averageFinalSize=100
[12 threads]: avgTime= 3002743132, avgThroughput=83024, averageFinalSize=100
[18 threads]: avgTime= 3004457435, avgThroughput=15513, averageFinalSize=100
[24 threads]: avgTime= 3007799166, avgThroughput=83515, averageFinalSize=100
[30 threads]: avgTime= 3007958337, avgThroughput=235551, averageFinalSize=100
[36 threads]: avgTime= 3009347786, avgThroughput=236556, averageFinalSize=100
