Available CPU Cores: 48

Testing UnrolledList (K=26) with numInitialElements = 25, range = 50, numRuns = 3
---
50% Adds, 50% Removes, 0% Contains
[2 threads]: avgTime= 3000946226, avgThroughput=3899, averageFinalSize=23
[6 threads]: avgTime= 3003431189, avgThroughput=8116, averageFinalSize=23
[12 threads]: avgTime= 3003471492, avgThroughput=7769, averageFinalSize=30
[18 threads]: avgTime= 3005613222, avgThroughput=7538, averageFinalSize=27
[24 threads]: avgTime= 3007343964, avgThroughput=8751, averageFinalSize=26
[30 threads]: avgTime= 3011771418, avgThroughput=9413, averageFinalSize=25
[36 threads]: avgTime= 3012101429, avgThroughput=9845, averageFinalSize=23
[42 threads]: avgTime= 3010917312, avgThroughput=9635, averageFinalSize=23
[46 threads]: avgTime= 3009327808, avgThroughput=10172, averageFinalSize=21

10% Adds, 10% Removes, 80% Contains
[2 threads]: avgTime= 3000714334, avgThroughput=8024, averageFinalSize=22
[6 threads]: avgTime= 3002334941, avgThroughput=11554, averageFinalSize=24
[12 threads]: avgTime= 3003635278, avgThroughput=12392, averageFinalSize=24
[18 threads]: avgTime= 3003925676, avgThroughput=12555, averageFinalSize=24
[24 threads]: avgTime= 3005927605, avgThroughput=12247, averageFinalSize=24
[30 threads]: avgTime= 3007033288, avgThroughput=12797, averageFinalSize=25
[36 threads]: avgTime= 3008892505, avgThroughput=13403, averageFinalSize=27
[42 threads]: avgTime= 3012481565, avgThroughput=13595, averageFinalSize=27
[46 threads]: avgTime= 3013308389, avgThroughput=13917, averageFinalSize=29

0% Adds, 0% Removes, 100% Contains
[2 threads]: avgTime= 3001167805, avgThroughput=27603, averageFinalSize=25
[6 threads]: avgTime= 3001744863, avgThroughput=115288, averageFinalSize=25
[12 threads]: avgTime= 3002939448, avgThroughput=285484, averageFinalSize=25
[18 threads]: avgTime= 3003678372, avgThroughput=468483, averageFinalSize=25
[24 threads]: avgTime= 3004804236, avgThroughput=645465, averageFinalSize=25
