Available CPU Cores: 48

Testing UnrolledList (K=22) with numInitialElements = 1000, range = 2000, numRuns = 3
---
50% Adds, 50% Removes, 0% Contains
[2 threads]: avgTime= 3000976122, avgThroughput=2552, averageFinalSize=1002
[6 threads]: avgTime= 3003521610, avgThroughput=4569, averageFinalSize=997
[12 threads]: avgTime= 3005396781, avgThroughput=7550, averageFinalSize=995
[18 threads]: avgTime= 3006413681, avgThroughput=9933, averageFinalSize=988
[24 threads]: avgTime= 3007728777, avgThroughput=11606, averageFinalSize=1002
[30 threads]: avgTime= 3009961980, avgThroughput=12977, averageFinalSize=1000
[36 threads]: avgTime= 3008572485, avgThroughput=13831, averageFinalSize=989
[42 threads]: avgTime= 3008781003, avgThroughput=14739, averageFinalSize=1008
[46 threads]: avgTime= 3009039628, avgThroughput=15216, averageFinalSize=991

10% Adds, 10% Removes, 80% Contains
[2 threads]: avgTime= 3000700329, avgThroughput=4572, averageFinalSize=1006
[6 threads]: avgTime= 3001724406, avgThroughput=7975, averageFinalSize=974
[12 threads]: avgTime= 3002820456, avgThroughput=14643, averageFinalSize=996
[18 threads]: avgTime= 3004243672, avgThroughput=21565, averageFinalSize=1012
[24 threads]: avgTime= 3005767643, avgThroughput=25893, averageFinalSize=1008
[30 threads]: avgTime= 3006419112, avgThroughput=29745, averageFinalSize=993
[36 threads]: avgTime= 3008780934, avgThroughput=33388, averageFinalSize=1020
[42 threads]: avgTime= 3011490006, avgThroughput=36102, averageFinalSize=991
[46 threads]: avgTime= 3010058115, avgThroughput=37814, averageFinalSize=1005

0% Adds, 0% Removes, 100% Contains
[2 threads]: avgTime= 3001102800, avgThroughput=17193, averageFinalSize=1000
[6 threads]: avgTime= 3001505554, avgThroughput=36108, averageFinalSize=1000
[12 threads]: avgTime= 3003415531, avgThroughput=81656, averageFinalSize=1000
[18 threads]: avgTime= 3003373886, avgThroughput=131864, averageFinalSize=1000
[24 threads]: avgTime= 3010049711, avgThroughput=143556, averageFinalSize=1000
