Available CPU Cores: 48

Testing UnrolledList (K=62) with numInitialElements = 10000, range = 20000, numRuns = 3
---
50% Adds, 50% Removes, 0% Contains
[2 threads]: avgTime= 3001031153, avgThroughput=1983, averageFinalSize=10016
[6 threads]: avgTime= 3002506559, avgThroughput=4099, averageFinalSize=10033
[12 threads]: avgTime= 3004508799, avgThroughput=7050, averageFinalSize=9992
[18 threads]: avgTime= 3006468455, avgThroughput=9175, averageFinalSize=10029
[24 threads]: avgTime= 3007184608, avgThroughput=11223, averageFinalSize=9952
[30 threads]: avgTime= 3010045829, avgThroughput=13218, averageFinalSize=9977
[36 threads]: avgTime= 3010358571, avgThroughput=14918, averageFinalSize=10022
[42 threads]: avgTime= 3010756046, avgThroughput=15779, averageFinalSize=9956
[46 threads]: avgTime= 3010907104, avgThroughput=16101, averageFinalSize=10022

10% Adds, 10% Removes, 80% Contains
[2 threads]: avgTime= 3001117553, avgThroughput=2803, averageFinalSize=9971
[6 threads]: avgTime= 3002015620, avgThroughput=7164, averageFinalSize=9975
[12 threads]: avgTime= 3003250143, avgThroughput=13451, averageFinalSize=10018
[18 threads]: avgTime= 3009460863, avgThroughput=18105, averageFinalSize=9967
[24 threads]: avgTime= 3004542898, avgThroughput=22570, averageFinalSize=9935
[30 threads]: avgTime= 3006680357, avgThroughput=25901, averageFinalSize=10007
[36 threads]: avgTime= 3007994343, avgThroughput=31144, averageFinalSize=9970
[42 threads]: avgTime= 3010815107, avgThroughput=32660, averageFinalSize=9982
[46 threads]: avgTime= 3010677570, avgThroughput=36748, averageFinalSize=9960

0% Adds, 0% Removes, 100% Contains
[2 threads]: avgTime= 3001010335, avgThroughput=6477, averageFinalSize=10000
[6 threads]: avgTime= 3001536175, avgThroughput=18569, averageFinalSize=10000
[12 threads]: avgTime= 3002666665, avgThroughput=36425, averageFinalSize=10000
[18 threads]: avgTime= 3003596719, avgThroughput=55487, averageFinalSize=10000
[24 threads]: avgTime= 3004813935, avgThroughput=71086, averageFinalSize=10000
